"","Number.of.Attributes","Number.of.Implications","Max.Size.Left.Part","Max.size.Right.Part","Time.with.DOB.Algorithm..in.seg.","Time.with.FDOB.Algorithm..in.seg."
"1",10,50,6,4,19.8099999999999,2.20000000000027
"2",10,150,6,4,8.4699999999998,5.67000000000007
"3",10,500,6,4,9.59000000000015,16.1099999999997
"4",10,5000,6,4,88.4499999999998,164.23
"5",10,10000,6,4,189.85,377.05
